process: 2f_z_eehiq_eLpL, id: 500001, generated: 40200000, available: 302400 (0.75%)
process: 2f_z_eehiq_eLpR, id: 500002, generated: 193200000, available: 378000 (0.20%)
process: 2f_z_eehiq_eRpR, id: 500003, generated: 40200000, available: 259200 (0.64%)
process: 2f_z_eehiq_eRpL, id: 500004, generated: 190800000, available: 302400 (0.16%)
process: 2f_z_h_eLpR, id: 500010, generated: 639900000, available: 243200 (0.04%)
process: 2f_z_h_eRpL, id: 500012, generated: 352100000, available: 116800 (0.03%)
process: 2f_z_l_eLpR, id: 500006, generated: 106500000, available: 392000 (0.37%)
process: 2f_z_l_eRpL, id: 500008, generated: 82000000, available: 311000 (0.38%)
process: ea_3f_z_l_eLpB, id: 500014, generated: 97800000, available: 132000 (0.13%)
process: ea_3f_z_l_eRpB, id: 500016, generated: 97800000, available: 184000 (0.19%)
process: ea_3f_z_nu_eLpB, id: 500018, generated: 40000, available: 40000 (100.00%)
process: ea_3f_z_nu_eRpB, id: 500020, generated: 30000, available: 30000 (100.00%)
process: ea_3f_w_l_eLpB, id: 500022, generated: 40000, available: 40000 (100.00%)
process: ea_3f_z_h_eLpB, id: 500026, generated: 8800000, available: 98400 (1.12%)
process: ea_3f_z_h_eRpB, id: 500028, generated: 8800000, available: 119000 (1.35%)
process: ea_3f_w_h_eLpB, id: 500030, generated: 60000, available: 26800 (44.67%)
process: ae_3f_z_l_eBpL, id: 500034, generated: 97800000, available: 132000 (0.13%)
process: ae_3f_z_l_eBpR, id: 500036, generated: 97800000, available: 318000 (0.33%)
process: ae_3f_z_nu_eBpL, id: 500038, generated: 30000, available: 30000 (100.00%)
process: ae_3f_z_nu_eBpR, id: 500040, generated: 40000, available: 40000 (100.00%)
process: ae_3f_w_l_eBpR, id: 500044, generated: 40000, available: 40000 (100.00%)
process: ae_3f_z_h_eBpL, id: 500046, generated: 8800000, available: 93600 (1.06%)
process: ae_3f_z_h_eBpR, id: 500048, generated: 8800000, available: 88200 (1.00%)
process: ae_3f_w_h_eBpR, id: 500052, generated: 60000, available: 19600 (32.67%)
process: 4f_zz_h_eLpR, id: 500062, generated: 7100000, available: 1820600 (25.64%)
process: 4f_zz_h_eRpL, id: 500064, generated: 3100000, available: 723400 (23.34%)
process: 4f_zz_sl_eLpR, id: 500074, generated: 4200000, available: 2099200 (49.98%)
process: 4f_zz_sl_eRpL, id: 500076, generated: 2400000, available: 1054800 (43.95%)
process: 4f_zz_l_eLpR, id: 500086, generated: 500000, available: 394000 (78.80%)
process: 4f_zz_l_eRpL, id: 500088, generated: 400000, available: 359000 (89.75%)
process: 4f_zzorww_h_eLpR, id: 500070, generated: 62000000, available: 100000 (0.16%)
process: 4f_zzorww_h_eRpL, id: 500072, generated: 1200000, available: 150000 (12.50%)
process: 4f_zzorww_l_eLpR, id: 500098, generated: 8400000, available: 98000 (1.17%)
process: 4f_zzorww_l_eRpL, id: 500100, generated: 300000, available: 129000 (43.00%)
process: 4f_zznu_sl_eLpR, id: 500078, generated: 3100000, available: 200000 (6.45%)
process: 4f_zznu_sl_eRpL, id: 500080, generated: 1400000, available: 140000 (10.00%)
process: 4f_zznu_l_eLpR, id: 500090, generated: 400000, available: 200000 (50.00%)
process: 4f_zznu_l_eRpL, id: 500092, generated: 300000, available: 200000 (66.67%)
process: 4f_sznu_l_eLpR, id: 500122, generated: 1000000, available: 1000000 (100.00%)
process: 4f_sznu_l_eRpL, id: 500124, generated: 300000, available: 171000 (57.00%)
process: 4f_sze_sl_eLpL, id: 500101, generated: 1200000, available: 172800 (14.40%)
